,time,latitude,longitude,depth,mag,magType,id,updated,place,type,horizontalError,depthError,locationSource,magSource
34,2015-12-21 12:37:12.300000+00:00,-18.1567,-174.9055,197.71,5.0,mb,us100048l4,2016-11-10T22:05:25.225Z,"111 km WNW of Neiafu, Tonga",earthquake,10.5,3.9,us,us
35,2015-12-20 22:04:34.870000+00:00,-6.2785,154.6759,52.89,5.0,mb,us100048hu,2022-05-03T17:37:21.513Z,"89 km W of Panguna, Papua New Guinea",earthquake,6.4,4.0,us,us
36,2015-12-20 18:47:36.610000+00:00,3.6455,117.6359,14.0,6.1,mww,us100048hc,2022-08-02T00:20:36.832Z,"37 km N of Tarakan, Indonesia",earthquake,5.4,1.7,us,us
37,2015-12-20 09:28:51.820000+00:00,12.8596,124.3748,111.1,5.2,mb,us100048g8,2016-11-10T22:05:17.950Z,"19 km N of Biri, Philippines",earthquake,8.2,4.8,us,us
38,2015-12-20 07:29:11.010000+00:00,-28.2531,-176.2567,10.0,5.2,mb,us100048fn,2016-11-10T22:05:16.850Z,Kermadec Islands region,earthquake,7.2,1.7,us,us
39,2015-12-19 19:25:05.560000+00:00,-30.6053,-71.3057,48.34,5.8,mww,us100048du,2022-05-03T19:06:48.766Z,"10 km W of Ovalle, Chile",earthquake,5.7,2.9,us,us
40,2015-12-19 15:03:36.010000+00:00,-8.3684,107.0225,27.0,5.7,mww,us100048d4,2022-08-02T00:08:58.346Z,"137 km SSW of Banjar, Indonesia",earthquake,6.7,1.8,us,us
41,2015-12-19 04:27:32.770000+00:00,2.1145,-84.4273,29.58,5.0,mb,us100048aa,2016-03-12T02:29:17.040Z,off the coast of Central America,earthquake,7.6,2.4,us,us
42,2015-12-19 02:10:53.360000+00:00,-18.3819,169.3857,10.0,6.0,mww,us1000489i,2022-08-02T00:01:14.882Z,"128 km N of Isangel, Vanuatu",earthquake,6.8,1.7,us,us
43,2015-12-18 22:16:56.550000+00:00,29.3985,81.6541,10.0,5.4,mb,us1000488j,2022-08-02T00:00:13.756Z,"53 km WNW of Jumla, Nepal",earthquake,7.5,1.8,us,us
44,2015-12-18 22:14:09.200000+00:00,-17.0719,-178.9574,529.96,5.1,mb,us1000488k,2022-05-03T17:37:16.240Z,"192 km ESE of Labasa, Fiji",earthquake,9.3,5.9,us,us
45,2015-12-18 11:46:48.270000+00:00,-1.3395,-15.8313,10.0,5.4,mww,us1000483e,2022-05-03T19:06:47.323Z,north of Ascension Island,earthquake,8.5,1.8,us,us
46,2015-12-17 21:31:39.630000+00:00,47.9728,146.8521,443.02,5.4,mb,us1000480v,2016-03-12T02:29:15.040Z,northwest of the Kuril Islands,earthquake,8.9,4.9,us,us
47,2015-12-17 19:49:53.050000+00:00,15.8015,-93.633,85.0,6.6,mww,us100047zq,2022-05-03T19:18:19.005Z,"4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,4.9,1.8,us,us
48,2015-12-17 12:44:03.130000+00:00,17.7537,120.5815,69.65,5.3,mww,us100047wy,2022-08-01T23:48:51.795Z,"13 km E of San Juan, Philippines",earthquake,7.3,4.6,us,us
49,2015-12-16 20:38:37.090000+00:00,-19.5827,-174.911,37.27,5.3,mb,us20004hm8,2016-11-10T22:04:50.242Z,"63 km WNW of Pangai, Tonga",earthquake,9.6,4.4,us,us
50,2015-12-15 17:48:50.240000+00:00,-56.3666,-25.7378,20.06,5.0,mb,us20004hdj,2016-03-05T01:42:08.040Z,South Sandwich Islands region,earthquake,4.7,4.8,us,us
51,2015-12-15 17:08:25.110000+00:00,-56.3767,-25.8321,12.88,5.1,mb,us20004hde,2016-11-10T22:04:46.127Z,South Sandwich Islands region,earthquake,10.4,3.6,us,us
52,2015-12-15 13:29:35.980000+00:00,-15.6232,167.2863,28.53,5.2,mb,us20004hax,2022-08-01T23:31:15.745Z,"17 km SE of Luganville, Vanuatu",earthquake,5.3,3.1,us,us
53,2015-12-15 00:20:33.490000+00:00,25.7209,141.9465,55.5,5.1,mb,us20004h86,2016-11-10T22:04:43.913Z,"Volcano Islands, Japan region",earthquake,8.5,5.5,us,us
54,2015-12-14 22:56:17.210000+00:00,-5.4132,153.0664,37.54,5.0,mb,us20004h6f,2016-11-10T22:04:42.767Z,"147 km SE of Kokopo, Papua New Guinea",earthquake,7.5,2.7,us,us
55,2015-12-14 21:12:01.830000+00:00,52.835,-167.9241,46.67,5.2,mb,us20004h58,2023-07-28T17:45:18.479Z,"64 km E of Nikolski, Alaska",earthquake,3.1,5.1,us,us
56,2015-12-14 01:45:58.820000+00:00,-4.056,129.5317,10.0,5.3,mww,us20004gyq,2022-05-03T17:37:12.736Z,"104 km SE of Amahai, Indonesia",earthquake,5.9,1.7,us,us
57,2015-12-14 01:34:00.600000+00:00,-4.0574,129.5354,10.0,5.2,mb,us20004gyp,2022-05-03T17:37:11.547Z,"104 km SE of Amahai, Indonesia",earthquake,6.5,1.7,us,us
58,2015-12-13 06:42:09.130000+00:00,-6.8681,129.8586,76.77,5.4,mb,us20004gv8,2016-11-10T22:04:36.101Z,Banda Sea,earthquake,6.5,4.3,us,us
59,2015-12-13 05:53:20.030000+00:00,54.979,111.6458,12.3,5.1,mb,us20004gv4,2016-11-10T22:04:35.001Z,"113 km NE of Kurumkan, Russia",earthquake,7.5,3.5,us,us
60,2015-12-13 01:52:17.690000+00:00,46.7243,152.5864,56.69,5.3,mb,us20004guj,2016-11-10T22:04:33.874Z,Kuril Islands,earthquake,7.0,3.4,us,us
61,2015-12-13 01:47:05.360000+00:00,3.4763,127.4198,10.0,5.3,mwb,us20004gug,2016-11-10T22:04:32.764Z,"204 km NNW of Tobelo, Indonesia",earthquake,5.6,1.7,us,us
62,2015-12-12 23:32:54.860000+00:00,-41.1083,-90.0703,10.0,5.5,mwb,us20004gtz,2022-05-03T19:18:16.871Z,southeast of Easter Island,earthquake,10.8,1.7,us,us
63,2015-12-11 22:05:36.820000+00:00,-47.6159,85.1651,10.0,5.0,mb,us20004gm0,2016-11-10T22:04:25.353Z,southeast Indian Ridge,earthquake,9.0,1.8,us,us
64,2015-12-11 03:20:48.820000+00:00,-4.9619,102.966,48.6,5.1,mww,us20004gba,2022-05-03T17:37:08.060Z,"108 km SSW of Pagar Alam, Indonesia",earthquake,6.9,3.7,us,us
65,2015-12-10 18:55:31.940000+00:00,-5.4291,129.4265,254.45,5.0,mb,us20004g7l,2016-11-10T22:04:21.424Z,"236 km SE of Ambon, Indonesia",earthquake,6.9,4.4,us,us
66,2015-12-10 15:03:26.410000+00:00,-17.0179,175.2794,16.25,5.1,mb,us20004g50,2016-11-10T22:04:19.109Z,"240 km WNW of Lautoka, Fiji",earthquake,8.3,3.4,us,us
67,2015-12-10 12:05:14.730000+00:00,-58.88,-23.9062,10.0,5.7,mww,us20004g40,2022-05-03T17:37:06.716Z,South Sandwich Islands region,earthquake,3.5,1.7,us,us
68,2015-12-10 02:04:43.710000+00:00,-4.2318,129.5433,30.22,5.2,mb,us20004g28,2022-05-03T17:39:44.282Z,Banda Sea,earthquake,6.9,3.9,us,us
69,2015-12-10 00:09:32.810000+00:00,-35.8838,-73.2763,10.0,5.5,mww,us20004g1p,2022-05-03T18:13:57.215Z,"79 km NW of Quirihue, Chile",earthquake,6.3,1.7,us,us
70,2015-12-09 21:52:42.200000+00:00,-37.6899,51.3146,10.0,5.3,mb,us20004g0x,2016-11-10T22:04:11.570Z,South Indian Ocean,earthquake,7.7,1.6,us,us
71,2015-12-09 19:17:38.330000+00:00,38.3722,72.8574,10.0,5.0,mb,us20004fzu,2022-05-03T17:37:01.130Z,"99 km WNW of Murghob, Tajikistan",earthquake,5.4,1.5,us,us
72,2015-12-09 16:35:44.650000+00:00,-4.1499,129.4646,26.76,5.0,mb,us20004g15,2016-03-02T03:36:42.040Z,"108 km SE of Amahai, Indonesia",earthquake,7.1,4.0,us,us
73,2015-12-09 16:06:10.360000+00:00,-4.0366,129.5475,25.75,5.0,mb,us20004fww,2016-03-02T03:36:42.040Z,"103 km SE of Amahai, Indonesia",earthquake,5.9,2.9,us,us
74,2015-12-09 14:14:01.430000+00:00,-4.0576,129.6028,10.0,5.4,mb,us20004fvt,2016-03-02T03:36:41.040Z,"109 km SE of Amahai, Indonesia",earthquake,5.9,1.6,us,us
75,2015-12-09 13:32:56.090000+00:00,-15.1833,-177.7597,401.54,5.3,mb,us20004fve,2016-03-02T03:36:41.040Z,"103 km SSE of Alo, Wallis and Futuna",earthquake,9.5,6.2,us,us
76,2015-12-09 12:58:01.780000+00:00,-16.7374,175.2475,10.0,6.1,mww,us20004fuz,2022-05-03T19:06:43.287Z,"253 km WNW of Lautoka, Fiji",earthquake,7.8,1.8,us,us
77,2015-12-09 12:39:11.250000+00:00,-4.0634,129.7107,24.33,5.3,mb,us20004fur,2016-03-02T03:36:41.040Z,"118 km SE of Amahai, Indonesia",earthquake,6.2,3.0,us,us
78,2015-12-09 12:17:19.530000+00:00,-4.126,129.5585,28.89,5.0,mb,us20004ful,2016-03-02T03:36:41.040Z,"112 km SE of Amahai, Indonesia",earthquake,6.7,4.4,us,us
79,2015-12-09 12:06:24.190000+00:00,-4.1428,129.6036,22.17,5.2,mb,us20004fuh,2016-03-02T03:36:41.040Z,"116 km SE of Amahai, Indonesia",earthquake,6.2,3.7,us,us
80,2015-12-09 11:15:29.210000+00:00,-4.2767,129.6724,25.54,5.2,mb,us20004fu0,2022-08-01T22:41:15.971Z,"133 km SE of Amahai, Indonesia",earthquake,6.0,4.1,us,us
